
uniqueID,Title,"Resource Person",Topics,Keywords,Language,"Audio URL","Verse Ref",Duration,AlbumID
11:09::2018::13:29::KPM5P,"Safatus Solaatu Nabiyy Part 02 (09-09-18) -",,,,,"http://media.dawahnigeria.com/dnlectures2/Imam%20Dr%20Ajijolakewu/Solaatu%20Nabiyy/Imam%20Dr%20Kamaldeen%20Ajijolakewu_Safatus%20Solaatu%20Nabiyy%20Part%2002%20(09-09-18)_DN.mp3
",,,
11:09::2018::13:29::J5VNU,"Safatus Solaatu Nabiyy Part 03 (09-09-18) -",,,,,"http://media.dawahnigeria.com/dnlectures2/Imam%20Dr%20Ajijolakewu/Solaatu%20Nabiyy/Imam%20Dr%20Kamaldeen%20Ajijolakewu_Safatus%20Solaatu%20Nabiyy%20Part%2003%20(09-09-18)_DN.mp3
",,,
11:09::2018::13:29::BHZVV,"Safatus Solaatu Nabiyy Part 01 (09-09-18) -",,,,,"http://media.dawahnigeria.com/dnlectures2/Imam%20Dr%20Ajijolakewu/Solaatu%20Nabiyy/Imam%20Dr%20Kamaldeen%20Ajijolakewu_Safatus%20Solaatu%20Nabiyy%20Part%2001%20(09-09-18)_DN.mp3
",,,
11:09::2018::13:29::2UWUH,"Karatun Lugah (11-09-18) - Shaykh Muhammad Yahya As Salafy (Hausa)","Shaykh Muhammad Yahya As Salafy (Kaduna)",,,Hausa,"http://media.dawahnigeria.com/dnlectures2/Shaykh%20M.%20Yahya%20As%20Salafy%20(Kaduna)/Karatun%20Lugah/Shaykh%20Muhd%20Yahya%20As-Salafiy_Karatun%20Lugah%20(11-09-18)_DN.mp3
",,,
11:09::2018::13:29::9MGYF,"Karatun Aqeedatus-s-Salaf (05-09-18) - Shaykh Muhammad Yahya As Salafy (Hausa)","Shaykh Muhammad Yahya As Salafy (Kaduna)",,,Hausa,"http://media.dawahnigeria.com/dnlectures2/Shaykh%20M.%20Yahya%20As%20Salafy%20(Kaduna)/Karatun%20Aqeedah/Shaykh%20Muhd%20Yahya%20As-salafy_Karatun%20Aqeedatus-s-Salaf%20(05-09-18)_DN.mp3
",,,
11:09::2018::13:29::NSE4I,"Khutbah Jumu'ah - Oneness In Islam - Ustadh Tajudeen Uthman (Yoruba)","Ustadh Tajudeen Uthman (Lagos)",,,Yoruba,"http://media.dawahnigeria.com/dnlectures2/Ustaadh%20Tajudeen%20Uthman%20(Lagos)/Khutbah%20Jumu'ah/Ustadh%20Tajudeen%20Uthman_Khutbah%20Jumu'ah%20-%20Oneness%20In%20Islam_DN.mp3
",,,
11:09::2018::13:29::S5QPK,"Khutbah Eidul Adha 1439 (21-08-18) - Ustadh Tajudeen Uthman (Yoruba)","Ustadh Tajudeen Uthman (Lagos)",,,Yoruba,"http://media.dawahnigeria.com/dnlectures2/Ustaadh%20Tajudeen%20Uthman%20(Lagos)/Khutbah%20Jumu'ah/Ustadh%20Tajudeeen%20Uthman_Khutbah%20Eidul%20Adha%201439%20(21-08-18)_DN.mp3
",,,
11:09::2018::13:29::7NYE5,"Tawheed - Ustadh Tajudeen Uthman (Yoruba)","Ustadh Tajudeen Uthman (Lagos)",,,Yoruba,"http://media.dawahnigeria.com/dnlectures2/Ustaadh%20Tajudeen%20Uthman%20(Lagos)/Tawheed/Ustadh%20Tajudeen%20Uthman_Tawheed_DN.mp3
",,,
11:09::2018::13:29::DLRGP,"Biography Of Prophet Muhammad 08 - Ustadh Ibrahim Yusuf Dasuki (Yoruba)","Ustadh Ibrahim Yusuf Dasuki (Ilorin)",,,Yoruba,"http://media.dawahnigeria.com/dnlectures2/Ustadh%20Ibrahim%20Dasuki%20(Ilorin)/misc/Ustadh%20Yusuf%20Dasuki_Biography%20Of%20Prophet%20Muhammad%2008_DN.mp3
",,,
11:09::2018::13:29::M8RXC,"Biography Of Prophet Muhammad 07 - Ustadh Ibrahim Yusuf Dasuki (Yoruba)","Ustadh Ibrahim Yusuf Dasuki (Ilorin)",,,Yoruba,"http://media.dawahnigeria.com/dnlectures2/Ustadh%20Ibrahim%20Dasuki%20(Ilorin)/misc/Ustadh%20Yusuf%20Dasuki_Biography%20Of%20Prophet%20Muhammad%2007_DN.mp3
",
