uniqueID,Title,"Resource Person",Topics,Keywords,Language,"Audio URL","Verse Ref",Duration,AlbumID
27:09::2018::16:06::IAMHF,"Khutbah Jumu'ah - Innovations On The Day Of Ashura (21-09-18) -",,,,,"http://media.dawahnigeria.com/dnlectures2/%20Dr%20Khidir%20Bashir%20(Kano)/Khutbah%20Jumu'ah/Dr%20Khidir%20Bashir_Khutbah%20Jumu'ah%20-%20Innovations%20On%20The%20Day%20Of%20Ashura%20(21-09-18)_DN.mp3
",,,
27:09::2018::16:06::CM3AO,"Khutbah Jumu'ah - Darussa Daga Hijirar Annabi(14-09-18) -",,,,,"http://media.dawahnigeria.com/dnlectures2/%20Dr%20Khidir%20Bashir%20(Kano)/Khutbah%20Jumu'ah/Dr%20Khidir%20Bashir_Khutbah%20Jumu'ah%20-%20Darussa%20Daga%20Hijirar%20Annabi(14-09-18)_DN.mp3
",,,
27:09::2018::16:06::RM2KK,"Khutbah Jumu'ah - Yiwa Kai Hisabi (07-09-18) -",,,,,"http://media.dawahnigeria.com/dnlectures2/%20Dr%20Khidir%20Bashir%20(Kano)/Khutbah%20Jumu'ah/Dr%20Khidir%20Bashir_Khutbah%20Jumu'ah%20-%20Yiwa%20Kai%20Hisabi%20(07-09-18)_DN.mp3
",,,
27:09::2018::16:06::GHZIJ,"Yaduwar Barna A Bayan Kasa (29-07-18) - Dr Abdallah Usman Gadan Kaya (Hausa)","Dr Abdallah Usman Gadan Kaya (Kano)",,,Hausa,"http://media.dawahnigeria.com/dnlectures2/Dr%20Abdallah%20Usman%20Gadan%20Kaya%20(Kano)/Khutbah/Dr%20Abdullah%20Usman%20Gadon%20Kaya_Yaduwar%20Barna%20A%20Bayan%20Kasa%20(29-07-18)_DN.mp3
",,,
27:09::2018::16:06::FQMQI,"Khutbah - Fitintunin Duniya (07-09-18) - Dr Abdallah Usman Gadan Kaya (Hausa)","Dr Abdallah Usman Gadan Kaya (Kano)",,,Hausa,"http://media.dawahnigeria.com/dnlectures2/Dr%20Abdallah%20Usman%20Gadan%20Kaya%20(Kano)/Khutbah/Dr%20Abdullah%20Usman%20Gadon%20Kaya_Khutbah%20-%20Fitintunin%20Duniya%20(07-09-18)_DN.mp3
",,,
27:09::2018::16:06::NKLWW,"Wasiyyoyi Goma Ga Matar Aure (07-09-18) - Dr Abdullah Muhammad Getso (Hausa)","Dr Abdullah Muhammad Getso (Kano)",,,Hausa,"http://media.dawahnigeria.com/dnlectures2/Dr%20Abdullah%20Getso/Wasiyoyi/Dr%20Abdullahi%20Getso_Wasiyyoyi%20Goma%20Ga%20Matar%20Aure%20(07-09-18)_DN.mp3
",,,
27:09::2018::16:06::DFA8S,"Mutane Bakwai Da Za Su Shiga Inuwar Al-Arshi Ranar Alkiyama - Dr Sani Umar Rijiyar Lemu (Hausa)","Dr Sani Umar Rijiyar Lemu (Bauchi)",,,Hausa,"http://media.dawahnigeria.com/dnlectures2/Dr%20Sani%20Rijiyar%20Lemu/Misc/Dr%20Sani%20_Mutane%20Bakwai%20Da%20Za%20Su%20Shiga%20Inuwar%20Al-Arshi%20Ranar%20Alkiyama_DN.mp3
",,,
27:09::2018::16:06::OHUJI,"Siffofi 99 Na Mace Ta Gari - Shaykh Aminu I. Daurawa (Hausa)","Shaykh Aminu I. Daurawa (Kano)",,,Hausa,"http://media.dawahnigeria.com/dnlectures2/Shaykh-Aminu-Ibraaheem-Daurawa/Misc/Shaykh%20Aminu%20I%20Daurawa_Siffofi%2099%20Na%20Mace%20Ta%20Gari_DN.mp3
",,,
27:09::2018::16:06::AF8CJ,"Yadda Ake Neman Aure - Shaykh Aminu I. Daurawa (Hausa)","Shaykh Aminu I. Daurawa (Kano)",,,Hausa,"http://media.dawahnigeria.com/dnlectures2/Shaykh-Aminu-Ibraaheem-Daurawa/Misc/Shaykh%20Aminu%20I%20Daurawa_Yadda%20Ake%20Neman%20Aure_DN.mp3
",,,
27:09::2018::16:06::A1XJW,"Tambaya Madubin Ilmi 04 - Shaykh Aminu I. Daurawa (Hausa)","Shaykh Aminu I. Daurawa (Kano)",,,Hausa,"http://media.dawahnigeria.com/dnlectures2/Shaykh-Aminu-Ibraaheem-Daurawa/Misc/Shaykh%20Aminu%20I%20Daurawa_Tambaya%20Madubin%20Ilmi%2004_DN.mp3
",,,
27:09::2018::16:06::YIHTY,"Tambaya Madubin Ilmi 03 - Shaykh Aminu I. Daurawa (Hausa)","Shaykh Aminu I. Daurawa (Kano)",,,Hausa,"http://media.dawahnigeria.com/dnlectures2/Shaykh-Aminu-Ibraaheem-Daurawa/Misc/Shaykh%20Aminu%20I%20Daurawa_Tambaya%20Madubin%20Ilmi%2003_DN.mp3
",,,
27:09::2018::16:06::2KAHV,"Tazyin Alkhitab Fi Adab Alsuwal Waljawab - Majlisi Na 10 (19-09-18) - Shaykh Basheer Lawal (Hausa)","Shaykh Basheer Lawal (Kaduna)",,,Hausa,"http://media.dawahnigeria.com/dnlectures2/Shaykh%20Basheer%20Lawal%20(Kaduna)/Misc/Shaykh%20Basheer%20Lawal_Tazyin%20Alkhitab%20Fi%20Adab%20Alsuwal%20Waljawab%20-%20Majlisi%20Na%2010%20(19-09-18)_DN.mp3
",,,
27:09::2018::16:06::9AMQV,"Waa Zan Zaba -",,,,,"http://media.dawahnigeria.com/dnlectures2/Shaykh%20Muhammad%20Bin%20Uthman%20(Kano)/Misc/Shaykh%20Muhammad%20Bn%20Uthman%20_Waa%20Zan%20Zaba_DN.mp3
",,,
27:09::2018::16:06::6LSPI,"Karatun Aqeedatussalaf (26-09-18) - Shaykh Muhammad Yahya As Salafy (Hausa)","Shaykh Muhammad Yahya As Salafy (Kaduna)",,,Hausa,"http://media.dawahnigeria.com/dnlectures2/Shaykh%20M.%20Yahya%20As%20Salafy%20(Kaduna)/Karatun%20Aqeedah/Shaykh%20Muhd%20Yahya%20Assalafiy_Karatun%20Aqeedatussalaf%20(26-09-18)_DN.mp3
",,,
27:09::2018::16:06::HBMVJ,"Ruling On Leaving Islam And It's Consequences - Shaykh Qamarudeen Yunus (Yoruba)","Shaykh Qamarudeen Yunus (Abeokuta)",,,Yoruba,http://media.dawahnigeria.com/dnlectures2/Shaykh%20Qamarudeen%20Yunus/misc/Shaykh%20Qamarudeen%20Yunus_Ruling%20On%20Leaving%20Islam%20And%20It's%20Consequences_DN.mp3,,,
