uniqueID,Title,"Resource Person",Topics,Keywords,Language,"Audio URL","Verse Ref",Duration,AlbumID
19:09::2018::08:22::Q0DRQ,"Ramadan Tafseer 1439 (Day 28) [Q16vs99] -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Tafseer/Ustadh%20Rasheed%20Mudathir_Ramadan%20Tafseer%201439%20(Day%2028)%20[Q16vs99]_DN.mp3
","An-Nahl (16),",,
19:09::2018::08:22::PJJ5H,"Ramadan Tafseer 1439 (Day 29) [Q16vs101] -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Tafseer/Ustadh%20Rasheed%20Mudathir_Ramadan%20Tafseer%201439%20(Day%2029)%20[Q16vs101]_DN.mp3
","An-Nahl (16),",,
19:09::2018::08:22::PS4ZO,"Ramadan Tafseer 1439 (Day 27) [Q16vs98] -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Tafseer/Ustadh%20Rasheed%20Mudathir_Ramadan%20Tafseer%201439%20(Day%2027)%20[Q16vs98]_DN.mp3
","An-Nahl (16),",,
19:09::2018::08:22::ZKANH,"Tafseer [Q9vs70-71] -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Tafseer/Ustadh%20Rasheed%20Mudathir_Tafseer%20[Q9vs70-71]_DN.mp3
","Al-Taubah (9),Q9vs70,Q9vs71,",,
19:09::2018::08:22::TZUU0,"Ramadan Tafseer 1439 (Day 26) [Q16vs93] -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Tafseer/Ustadh%20Rasheed%20Mudathir_Ramadan%20Tafseer%201439%20(Day%2026)%20[Q16vs93]_DN.mp3
","An-Nahl (16),",,
19:09::2018::08:22::OA7WV,"Ramadan Tafseer 1439 (Day 21) [Q16vs72-77] -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Tafseer/Ustadh%20Rasheed%20Mudathir_Ramadan%20Tafseer%201439%20(Day%2021)%20[Q16vs72-77]_DN.mp3
","An-Nahl (16),Q16vs72,Q16vs73,Q16vs74,Q16vs75,Q16vs76,Q16vs77,",,
19:09::2018::08:22::ANIB9,"Taoheedul Asmaa wassifaat -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Taoheedul%20Asmaa%20wassifaat_DN.mp3
",,,
19:09::2018::08:22::0EPZY,"Backbitting and its Exceptions -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Backbitting%20and%20its%20Exceptions_DN.mp3
",,,
19:09::2018::08:22::ZCEPK,"The Holistic Credenda -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_The%20Holistic%20Credenda_DN.mp3
",,,
19:09::2018::08:22::OR15C,"Alms Giving -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Alms%20Giving_DN.mp3
",,,
19:09::2018::08:22::TOPBX,"Advantages from Imam Ahmad's Biography -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Advantages%20from%20Imam%20Ahmad's%20Biography_DN.mp3
",,,
19:09::2018::08:22::1HKLC,"Seeking Soothsayers -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Seeking%20Soothsayers_DN.mp3
",,,
19:09::2018::08:22::N4TXY,"Q & A -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Q%20&%20A_DN.mp3
",,,
19:09::2018::08:22::VCBOP,"Q & A Session 3 -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Q%20&%20A%20Session%203_DN.mp3
",,,
19:09::2018::08:22::YLWTK,"Q & A Session 5 -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Q%20&%20A%20Session%205_DN.mp3
",,,
19:09::2018::08:22::0D5CK,"Q & A Session 4 -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Q%20&%20A%20Session%204_DN.mp3
",,,
19:09::2018::08:22::S7ZRK,"Intecession -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Intecession_DN.mp3
",,,
19:09::2018::08:22::XQKK3,"Hijab -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Hijab_DN.mp3
",,,
19:09::2018::08:22::K99AL,"Q & A Session 2 -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Q%20&%20A%20Session%202_DN.mp3
",,,
19:09::2018::08:22::2W14M,"Effects of Sins on The Society and Its Cure -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Effects%20of%20Sins%20on%20The%20Society%20and%20Its%20Cure_DN.mp3
",,,
19:09::2018::08:22::9RP5M,"Q & A Session 1 -",,,,,"http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Q%20&%20A%20Session%201_DN.mp3
",,,
19:09::2018::08:22::UZMAZ,"Freedom -",,,,,http://media.dawahnigeria.com/dnlectures2/Ustaz%20Rasheed%20Mudathir%20(Ibadan)/Misc/Ustadh%20Rasheed%20Mudathir_Freedom_DN.mp3,,,
uniqueID,Title,"Resource Person",Topics,Keywords,Language,"Audio URL","Verse Ref",Duration,AlbumID
